[Monitor] Lambdas invocadas: 0 | Tamaño cola RabbitMQ: 0
[Monitor] Lambdas invocadas: 2 | Tamaño cola RabbitMQ: 0
[Monitor] Lambdas invocadas: 6 | Tamaño cola RabbitMQ: 4
[Monitor] Lambdas invocadas: 6 | Tamaño cola RabbitMQ: 2
[Monitor] Lambdas invocadas: 0 | Tamaño cola RabbitMQ: 0
[Monitor] Lambdas invocadas: 5 | Tamaño cola RabbitMQ: 0
[Monitor] Lambdas invocadas: 5 | Tamaño cola RabbitMQ: 3
[Monitor] Lambdas invocadas: 5 | Tamaño cola RabbitMQ: 0
[Monitor] Lambdas invocadas: 5 | Tamaño cola RabbitMQ: 30
[Monitor] Lambdas invocadas: 14 | Tamaño cola RabbitMQ: 30
[Monitor] Lambdas invocadas: 15 | Tamaño cola RabbitMQ: 4
[Monitor] Lambdas invocadas: 15 | Tamaño cola RabbitMQ: 0
[Monitor] Lambdas invocadas: 11 | Tamaño cola RabbitMQ: 0
[Monitor] Lambdas invocadas: 12 | Tamaño cola RabbitMQ: 10
[Monitor] Lambdas invocadas: 13 | Tamaño cola RabbitMQ: 0
[Monitor] Lambdas invocadas: 13 | Tamaño cola RabbitMQ: 0
[Monitor] Lambdas invocadas: 15 | Tamaño cola RabbitMQ: 0
[Monitor] Lambdas invocadas: 22 | Tamaño cola RabbitMQ: 92
[Monitor] Lambdas invocadas: 54 | Tamaño cola RabbitMQ: 0
[Monitor] Lambdas invocadas: 73 | Tamaño cola RabbitMQ: 18
[Monitor] Lambdas invocadas: 75 | Tamaño cola RabbitMQ: 9
[Monitor] Lambdas invocadas: 75 | Tamaño cola RabbitMQ: 3
[Monitor] Lambdas invocadas: 75 | Tamaño cola RabbitMQ: 3
[Monitor] Lambdas invocadas: 75 | Tamaño cola RabbitMQ: 0
